Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Correlation,Class
12.36723328,448.1551969,21.16967635,0.069167651,2.123972179,4.748163746,0.95860195,0
10.31564331,393.4393311,19.83530517,0.082760029,2.312098832,5.545424919,0.96408523,0
7.309387207,299.6295035,17.30980946,0.109148665,2.726462497,7.611356277,0.955245042,0
3.538269043,159.7834313,12.64054711,0.187170062,3.893234286,15.42522166,0.939285982,0
6.994415283,543.6251874,23.31577122,0.147563099,3.722481627,14.16743158,0.980873502,0
18.1756897,1179.352877,34.34170754,0.071341996,2.274174842,5.355514557,0.95953283,0
13.82899475,1004.439485,31.69289328,0.083058751,2.647450202,7.161487956,0.953174542,0
8.729278564,705.5538293,26.56226326,0.109326496,3.358469218,11.4438232,0.951547862,0
7.603469849,564.0673169,23.75010141,0.166472487,3.549900437,12.97411706,0.977672297,0
19.53599548,1186.216066,34.44148757,0.062988675,2.171894831,4.931613388,0.963145713,0
17.32659912,1156.306957,34.00451378,0.079451762,2.338648476,5.652010112,0.962439859,0
12.64527893,940.8239359,30.6728534,0.082603627,2.777324057,7.863415799,0.954115238,0
9.626571655,629.5934467,25.09170075,0.213566145,3.030688872,9.584507646,0.976287435,0
13.615448,727.330855,26.96907219,0.117458332,2.394322623,6.070914906,0.972928158,0
16.54037476,814.6176992,28.54150836,0.120668837,2.133033856,4.986008487,0.971658378,0
10.19784546,1500.544772,38.73686581,0.015742889,4.299220979,19.22236832,0.977386317,1
8.015853882,1226.754274,35.02505208,0.016812304,4.863007372,24.5739427,0.975963553,1
6.551574707,947.4648299,30.78091665,0.036035765,5.338459366,30.04809157,0.976710101,1
3.209564209,481.0488213,21.9328252,0.007671952,7.524402823,59.47366794,0.950698429,1
10.97944641,687.0698642,26.21201755,0.167412629,2.835048466,8.444054897,0.975776663,0
14.01950073,740.9170072,27.21979073,0.113068844,2.356186479,5.899034466,0.973397713,0
5.799453735,695.6130875,26.37447796,0.001767332,5.218501332,29.24369094,0.979566876,1
9.947265625,1337.110844,36.56652628,0.007903476,4.278837075,19.26785141,0.98095463,1
7.907714844,1202.819474,34.68168787,0.018067541,4.900664135,24.98034912,0.981419725,1
5.850067139,820.6182463,28.64643514,0.034452516,5.620809244,33.60145679,0.976738871,1
2.703216553,407.1250109,20.17733905,0.003724781,8.173107042,69.92703086,0.93994003,1
5.52822876,243.0836285,15.59113942,0.188631922,3.271906975,11.15454603,0.977771026,0
8.748397827,319.3710618,17.87095582,0.08820353,2.499776143,6.584458351,0.969661281,0
5.187347412,438.368153,20.9372432,0.003297526,4.94088237,27.03538163,0.971049454,1
3.044692993,295.140368,17.17964982,0.002359768,6.268597463,41.41520923,0.978468431,1
6.051025391,217.6035623,14.75139188,0.087557396,2.841319893,8.351243966,0.95547511,0
6.453216553,271.2355659,16.46923088,0.150890827,2.98848135,9.332125905,0.972463185,0
9.259155273,333.9625009,18.27464092,0.084943524,2.418713116,6.167441981,0.968895989,0
5.318771362,195.0593268,13.96636412,0.091445568,3.022853804,9.432460974,0.947876732,0
8.615341187,413.7062386,20.33976988,0.104024772,2.978365492,9.442800069,0.975783372,0
11.58840942,534.8187799,23.12614927,0.094838236,2.518143434,6.744626872,0.976333525,0
7.636962891,337.802412,18.37940184,0.08963881,2.781304875,7.902257234,0.970558251,0
9.621231079,471.9995932,21.72555162,0.097375407,2.834021196,8.570508621,0.978864882,0
