Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Correlation,Class
4.532058716,381.7165933,19.53756877,0.028781938,4.885738016,25.37327992,0.938949996,1
10.77761841,865.0852616,29.4123318,0.145530123,3.217202232,10.83598538,0.975443049,0
17.08680725,1198.223533,34.61536556,0.107661297,2.462167111,6.388057065,0.975089124,0
1.103042603,162.1854954,12.73520692,0.009654403,11.66984664,136.6221992,0.862280975,1
4.296646118,591.3960582,24.31863603,0.002557802,5.965953432,36.33341026,0.940587919,1
10.20820618,1418.431814,37.66207395,0.005534802,4.039589939,16.64638999,0.956843952,1
23.78686523,2030.735901,45.06368716,0.010728708,2.491831582,6.602687821,0.957064343,1
22.43655396,1725.24404,41.5360571,0.046597504,2.391048441,6.140147195,0.962109035,1
10.03012085,788.8566848,28.08659262,0.084223305,3.2206279,10.70229393,0.93625943,0
9.124694824,1043.865183,32.30890253,0.007809453,4.053947766,17.06154,0.960458231,1
8.57585144,1132.457371,33.65200397,0.002641989,4.458721038,20.82639922,0.94991287,1
29.07717896,2328.856549,48.25822778,0.036265162,2.273347319,5.724316393,0.957866673,1
6.669998169,891.6499693,29.86050852,0.002074363,4.930358314,25.14418983,0.960649299,1
8.79069519,1076.633488,32.81209363,0.001244618,4.2722309,18.96903033,0.965598796,1
8.193374634,1030.78482,32.10583779,0.002070919,4.525112366,21.38383448,0.954927059,1
2.908630371,395.0298364,19.87535752,0.003664525,7.137327471,52.08147225,0.880755597,1
18.77677917,1486.485419,38.55496621,0.096863493,2.493018229,6.496184268,0.960498275,0
11.82344055,1005.348212,31.7072265,0.125864795,3.178533193,10.48508879,0.953142533,0
4.199081421,400.1347587,20.00336868,0.221343749,5.293597026,28.88462392,0.932900047,0
5.350250244,363.6545046,19.06972744,0.002076529,4.629251465,24.26731731,0.947541439,1
2.363464355,283.5050986,16.83760965,0.003065949,7.587476258,58.77608695,0.969102275,1
5.097045898,415.6900508,20.38847838,0.002507447,4.801005952,25.43071106,0.972643827,1
2.800491333,143.6458823,11.98523602,0.115233811,4.795407108,23.90825057,0.936728433,0
14.96356201,866.1384488,29.43023019,0.098383902,2.42118851,6.22333362,0.965714517,0
15.47898865,834.2781624,28.88387374,0.113658627,2.32459555,5.816269915,0.963393684,0
10.73867798,612.6283375,24.75133002,0.070073068,2.753303476,7.844687077,0.948646655,0
5.808914185,364.2280974,19.08476087,0.121518171,3.747026615,14.56115795,0.935057835,0
10.9879303,1110.518281,33.32443969,0.01841397,3.527484334,12.83350545,0.971481603,1
13.56817627,1754.656131,41.88861576,0.011069007,3.486109572,12.43187975,0.976516923,1
8.151809692,1166.82361,34.15879989,0.005855641,4.512433963,20.69207135,0.960496298,1
23.90568542,2045.837162,45.23093148,0.011747679,2.485273948,6.619850682,0.965965134,1
5.658172607,825.0551024,28.72377243,0.00434519,5.434493635,30.28730114,0.96633593,1
0.256195068,35.86619333,5.988839063,0.016746112,23.51159795,554.8374804,0.802808424,1
18.70713806,1245.317719,35.28905947,0.004669377,2.476056352,6.407336386,0.933070195,1
14.19010925,1079.451818,32.85501206,0.005499704,2.998645374,9.625935184,0.955132619,1
1.873840332,231.6855718,15.2212211,0.00222005,8.520608474,74.44814533,0.925236436,1
9.775665283,838.6774352,28.95992809,0.003377427,3.426193565,12.24138879,0.936356542,1
6.289657593,526.7846812,22.95179037,0.117828376,4.268645601,19.188491,0.932854709,0
13.98324585,962.6320673,31.0263125,0.028325545,2.99747669,10.06290292,0.971551058,1
10.758255,1302.777059,36.09400309,0.005002712,4.014830936,17.17690043,0.97068243,1
9.802688599,1091.568575,33.03889488,0.00093933,4.010690305,17.00632385,0.965113597,1
17.79837036,1303.668434,36.10634894,0.002260226,3.001143146,10.40408112,0.961990504,1
7.326812744,832.1768252,28.8474752,0.001470349,4.543785787,21.88773795,0.964994899,1
13.98495483,1019.886066,31.93565509,0.010513663,2.883079626,8.915461375,0.967796772,1
8.173217773,496.1406595,22.27421513,0.125842112,3.258885313,11.07192273,0.952134785,0
2.952255249,203.8061527,14.27606923,0.221514036,5.387987373,29.92207079,0.936788366,0
8.227783203,420.6141053,20.50887869,0.170927434,2.922558618,8.966800876,0.968101198,0
15.88186646,818.0161403,28.60098146,0.116542196,2.221412583,5.323096952,0.973688531,0
2.547470093,432.7451699,20.80252797,0.005065863,8.458604479,72.62677342,0.966727259,1
5.320343018,891.1107486,29.85147816,0.002866715,6.075183509,38.17114655,0.979419996,1
5.124649048,878.942667,29.64696725,0.002051216,6.157381613,38.87147615,0.97676681,1
6.205245972,1007.503816,31.7412006,0.002514832,5.546662956,31.80318191,0.96646099,1
6.051879883,989.9377531,31.46327626,0.003017888,5.642758797,32.93335474,0.962776323,1
4.388000488,791.9900096,28.14231706,0.005884685,6.706310831,45.70055636,0.961700206,1
4.086624146,630.5974734,25.11169993,0.012561699,6.551718516,44.28833876,0.960740741,1
1.696960449,220.1522276,14.83752768,0.020947012,9.103427965,85.00345151,0.936357442,1
5.348464966,423.6410528,20.58254243,0.102796719,4.148901745,17.45410065,0.925263244,0
20.50996399,1721.804089,41.49462723,0.035953974,2.537374026,6.791528627,0.983488982,1
19.87608337,1492.391504,38.63148332,0.005353371,2.468309182,6.299724255,0.964312371,1
21.48458862,1508.982078,38.84561852,0.060058165,2.245773079,5.324115969,0.980981603,0
19.01818848,1398.432716,37.39562429,0.065916548,2.386454707,5.943829932,0.982055365,0
13.01275635,1043.292051,32.30003175,0.073017723,2.861241219,8.362975408,0.982897095,0
6.835403442,608.8881457,24.67565897,0.107613565,3.992049834,16.23312002,0.98227265,0
8.764846802,534.5471949,23.1202767,0.179569271,3.127588905,10.26102768,0.971375303,0
11.63305664,612.5180141,24.74910128,0.128283902,2.629665242,7.400968424,0.975284171,0
15.72595215,809.765778,28.45638378,0.125495702,2.283307073,5.741563476,0.968018974,0
3.033050537,250.2479468,15.81922712,0.001707656,6.719095615,51.16798304,0.947138144,1
1.241424561,141.5252349,11.89643791,0.001684286,10.73679985,122.5368971,0.940040274,1
